QueryId,Query Description
543,Disable PIN Unlock with Certificates and WPA2 Enterprise
619,How to unlock Google Device Manager remote lock?
618,Issue with CyanogenMod softbuttons after theming
7,How to post a link to an android market app?
342,Android Jelly Bean: fix search button
405,How to tell if a phone is rooted?
338,Develop Java Swing Applications  on Android
73,Markdown note taking with Dropbox sync
10,Can you connect USB devices to an Android phone?
254,WIFI share a reverse tethered connection
138,What is Flash ClockworkMod Recovery?
623,Why is an android ROM device specific?
218,Facebook contact sync in Ice Cream Sandwich
454,How do I make Android consider my WiFi Access Point as valid (blue?)
427,Add user (personal) dictionary to Android stock keyboard for unsupported languages
90,Dropbox for Android folder location
376,Samsung Galaxy Ace: will it charge me to connect to home wifi?
108,How to lock screen besides pressing Nexus S right side power button
36,App that reads images of QR codes?
387,"What are ""Manual Updates"" in Google Play Store?"
267,Can (ringer) volume only be locked by hacks/apps or is there a easy way?
615,Data sms need info
398,Android tablet won't reboot after rebooting using volume and power buttons
68,Do I need to reboot my HTC Desire periodically?
359,How to make cell phone using GPRS/3G a WiFi-Hotspot
424,Can apps know where you are even without GPS?
340,How can I control both volume and track skip on my Android device from my headphones?
456,How can I use 2G voice calls in Nexus 7
455,Play store stuck in old country
558,How can I download apps to the SD card with space instead of my phone storage?
469,Can I download a paid app on a second device from Google Play?
576,Can't see profile pics of friends from an unknown number
506,Android app for decorating destination numbers
38,Knowing which applications to stop
125,Video streaming from PC to Android?
124,Would a Class 10 MicroSDHC card ever be worth it on a Smartphone (Samsung Galaxy S 2)?
221,Do I have to install a custom ROM if I root?
511,How to NOT charge when USB debugging?
605,Clear Google Play Failed Download Space
641,Installation of apks in Bluestacks
94,Separate ringtone for calls from numbers not in the contact list?
93,"How to fix ""Invalid IMEI "" after Factory reset?"
44,how to close an application in android
383,"How to get rid of bogus ""Phone storage full"" message (cannot send SMSs)"
654,Monitor outgong web requests as they’re happening
415,Why does my phone have erroneous input when connected to a non-OEM power source?
640,Android hangs on boot image after changing boot image
452,How can I reduce screen brightness below the minimum without an app?
442,How to Install Android Apps to the SD Card by Default
58,How do I change the default Complete Action With?
362,How can I find out what app is using my GPS from the background?
361,Does Google Audit all apps that enter the market place?
593,THE resource for rooting your phone?
183,How to force Gmail/Android to request password every time for google account
149,"How do I fix ""Unknown reason -110""?"
29,How will a swap partition/file affect the system?
63,how to completely disable lockscreen?
238,How can I find out the Wi-Fi password from android setting
129,Wifi Error when turning on
303,How can Iget different sounds for different notifications?
343,Why my S3 device sounds when magnetic card is put on its back?
43,Is it possible to install Android on a PC?
397,LG Lucid doesn't recognize SD card as extra memory when dealing with photos
160,Which one is more suitable Samsung Kies or PC Studio for Samsung GT-B7722?
242,Contacts with and without international extensions
617,-24 Google Play Error on installing eBay
308,Unable to move few Apps to SD Card
473,How to remove this sliding app section?
417,How can I disable the volume warning if you raise the volume too much?
228,Why can't apps connect to the internet?
438,Is it possible to change the system language to Japanese?
554,Which Android handsets support in-line call recording?
428,How to stop this type of service in Sony Xperia MT27i?
11,What is the difference between jailbreaking and unlocking an Android?
529,How do you add widgets to the lockscreen in KitKat?
186,Where does Google Music store offline songs?
540,"Upgrading to 4.4 on rooted Nexus 4, custom recovery, custom kernel without losing data"
371,Will my Android device change to Gingerbread when I factory reset it?
613,Android Version Distribution BY COUNTRY
314,Rooting Stock Firmware - GSII with NFC
564,Can I use an external touchscreen with the Nexus 4?
301,How to configure BlueStack AppPlayer to use Proxy settings when connecting to Network?
493,How to find the unboxing date of an Android device?
179,"If I flash my ROM or wipe my device after buying an app, will I have to buy it again?"
368,Is there a way to extend the MK802 III's memory?
62,How do I perform a full pre-rooting backup of an Android phone?
127,How do I import user data from a ROM Manager backup?
448,Can Android tablet read external hard drive and if so which formats?
689,Necessary to manually update gapps?
408,Does anyone know this icon?
197,How do I switch my Android device's SD card without causing problems?
549,What is LOST.DIR and what is its purpose?
513,Galaxy Note is getting slower and less responsive
429,wpa_cli not found on rooted device?
489,Can tablets differentiate between regular wi-fi and mobile hot spot?
16,What's with the Donut/Froyo?
508,How do you close apps in Android so they aren't taking up resources?
587,mm-qcamera-daemon causing massive battery drain
37,How can I disable the notification sounds while playing music?
487,samsung s4 has suddenly started calling through Skype instead of the local network
673,"Programmatically, how does ""rooting"" a device enable access?"
40,In my Samsung Galaxy S under Settings - Status - Phone number is says 'unknown': Why?
41,How to play a YouTube clip in background/minimised?
5,How can I get my Chrome-synced bookmarks in an Android device?
660,BLUETOOTH HEADSET USING ANDROID
57,Android Market Stopped Working
453,Google Maps Location History is showing an incorrect location
435,Getting rid of Status Bar on 4.1
164,Android Market gone after emulator reboot
151,Why does the 3G connection drop issue happen on all Verizon 4G LTE handsets?
374,Why does Spotify say that there is no Internet connection available when there is one (Samsung Galaxy S)?
146,Is there a way to blacklist SSIDs?
510,"Rooting - how to, and what are the consequences\risks"
611,Streaming sound from laptop to android
325,How can I make a route offline in Google Maps?
524,How to check if application on Google Play would work on other (not own) phone?
89,What Tasker Profiles do you use?
526,"Samsung Galaxy S4 SCH-I545 official updates via Kies fails with: ""Software update is temporarily unavailable. Try again later."""
680,Re-rooting Nexus 4 after KTU84P Update
259,How to make run only a single application with all other application stopped?
434,Import pdf files to google play book application
106,What are the security disadvantages of rooting an Android phone?
171,Is it possible to connect a USB microphone to an Android phone or tablet?
214,Is it possible to permanently supress app updates?
13,Where are log files located on Android?
583,Galaxy s2 data retrieval
557,Error when downloading application from the play store: RPC: S-3
322,Locating lost android device in home
245,Why does the STORE button on Amazon Kindle go to the website instead of the in app store?
612,why smartphones become laggey and slow with time?
20,Is there any way to print directly from the phone?
377,"How can I get my Galaxy S3 to behave at night? (turn off LED and notifications, etc.)"
292,Package file is invalid
360,Where are the developer options in Android 4.2?
422,"Is it possible to install unmodified, unadulterated and pure Android on a Sony Xperia S?"
176,How to read out the data in HTC Desire SMS backup file?
175,VLC for Android tablets
667,OTG cable shaport
447,How do I configure Dropbox in my Galaxy S III so that it does NOT automatically upload every photo/video I take?
683,ROOTING THE ANDROID DEVICE
433,Pinning Web Sites to Android Homescreen
156,How do you set up internet pass-through (reverse-tether) on linux?
633,Does an android phone unroot itself on factory reset?
626,whats app deletion
625,Is it always possible to reboot the phone without removing the battery?
256,"I can't update my Nexus S, shows error screen. What to do?"
310,Failing to update android 4.1 - Galaxy Nexus
316,USB charging in host mode
353,How can I SSH into my Android without rooting it?
638,Is it possible to install applications on the SD card in KitKat 4.4?
602,Inkpad Notepad failing to install
652,how can i acces files on my pc remotely from my android?
648,How can i transfer my whatsapp chat history to my new phone?
6,Is Internet  tethering possible on Android phone via bluetooth or WiFi?
67,Can gmail notifications be customized by label?
411,Getting a list of applications with SMS permission
189,Does any version of Android support ad-hoc connections?
141,Looking for Call list Application
140,Move to SD Card doesn't move everything
472,"Why are Android apps getting rid of ""Quit"" functionality?"
147,Can I charge Samsung Galaxy Tab 10.1 from USB?
567,i have lost my images by deleting them but now i want them back
277,Child-proofing an Android phone?
31,How to backup Angry Birds saves/data?
32,Can I use multiple Android devices with a single Google account?
236,Is there a way to temporarily disable hosts and flush the DNS?
24,"My Samsung Galaxy S front-facing camera doesn't work in camera app, Gtalk or Skype -- How can I use it?"
541,How to revert to stock ROM Kitkat 4.4 from PACman?
372,How can one move the position of the application inside the launcher?
488,How to install games from APK Mania on MicroSD Card
521,Can you disable need to okay the unlock passcode?
418,Is there a way to hide pictures from being shown in Gallery
396,Why do I have so little unused RAM?
120,Where is a downloaded .apk placed in Android phones?
445,Double Security for Gmail
681,Why am I running out of space on my Galaxy S2?
621,Nexus 5 won't connect to my car radio via Bluetooth
570,Backup paid app from Google Play
555,HTC wildfire S storage issue!
19,Is there a way to customize vibrate patterns?
677,How to have notifications show up on my app on desktop
297,Android debugging-Boot Loops: Is there any way to get a log of information without ADB? Can the emulator even help?
596,"Installing TextSecure, but missing Google Play"
333,How can I track my app usage?
42,"Does ClockworkMod Recovery's ""Wipe Data"" command also wipe the SD card?"
651,Android Play store
500,How do I decrypt files on SD card that I encrypted on a different device?
98,Disable HTML Emails in composer
133,"What can cause ""Android OS"" process to use high percentage of battery?"
505,Do I have a virus on my phone? A message from an Android app says so
616,What is this fingerprint bar on my phone?
572,Google Play Store - No Connection (Galaxy Note 3)
306,Why GPS is never found?
294,SMS thread retrieval
295,Can Android be installed on the new Win8-Intel Ultrabooks slated to come out late-12 early-13
665,how to take a backup of my calender events in galaxy ace duos
216,Is it possible to direct all audio output to a bluetooth headset?
207,Moving applications to SD card leaves some data behind
492,What's the native wallpaper resolution of HTC One?
226,What is the best pre-stealing practice?
649,Odin vs Clockworkmod
289,"Where is ""Stay Awake"" option in Ice Cream Sandwich on the Galaxy S3?"
646,File deleting problems after Android v4.4.2 upgrade?
426,How to replace Cyanogenmod dialer/contacts/messaging(texting) apps?
440,Connecting to Adhoc Wifi
381,Is there any other way to get updates to frozen apps?
217,App to share a calendar
196,How can I make my Samsung Galaxy Nexus volume go louder than what stock allows?
56,How can I set a Screen Lock Timeout?
622,Error retrieving information from server [RPC:S-7:AEC-0]
202,How can I get the Android app store on the kindle fire?
230,Clear Application Cache on ICS
96,App for running a (simple) web server on Android?
538,"Multiple Android Tablet remote update, pushing settings, device lock-down"
268,List of open ports on Android
258,What is error code 495 on Google Play and the YouTube app?
320,How can I format a flash drive using terminal emulator?
635,"ADB shell: change IME method gives error ""Unknown ID: null"""
54,I have sold my phone on eBay. What should I do before I send it off?
212,How can I disable or password protect my device's 'factory reset' function?
211,How to track device locations in an office
121,How do I make Adobe Flash work with Firefox?
190,Problems with downloading apps
126,Email application with notifications only for specified contacts (standard SMTP/POP3/IMAP)
539,How to change the storage device mountpoints
17,"How can I customize the list of services that pops up when I choose to ""share"" something in an app?"
484,SMS converts to MMS and only sends when data mobile is on
439,"""google settings"" app"
610,Is it possible to stream from an Android Nexus tablet to an apple airport express?
318,Using Android only with Outlook and not Google Calendar
691,Does having CWM mean bootloader is unlocked?
131,Android Software or Device to present Application on Screen
132,What is SNS App?
275,How to pull the apks from my android phone
279,Where are clicked URLs stored? Is there a way to save them into a file?
551,Xperia sola rooting help
364,Google play fails to install application with RPC:S-5:AEC-0
471,Mini Calendar Widget not updating to today
694,Xperia Go: Boot into Recovery Mode
110,Amazon App Store - Location of the downloaded APK
461,"If I delete a game that I've downloaded from google play, can I still install it later?"
464,Google “Play Music” app constantly running!
486,Will my phone will get locked after upgrading to Jelly Bean?
536,Is it possible to send and receive faxes over an Android phone?
582,Wifi not working too well.. :c
49,"HTC Desire Z Home Screen has Stopped Rotating, wat do?"
670,google play uses wrong account for in-app purchases
312,"How to toggle wi-fi, gps etc quickly in HTC Sense?"
348,35 mb in proc folder
528,What is this N-shaped icon on my HTC One?
631,Should I charge new LG G2 for 6 before first use
155,Can I train Google Voice Actions to better recognize my voice?
632,Share USB reverse tethering connection via WiFi hotspot on Windows
153,How can I prevent my Wi-Fi connection from glitching?
154,How can I write in a PDF with a tablet and a pen (a.k.a  Is there a Xournal alternative for Android)?
47,How do I change the default phone number?
48,How to put a Call contact using Skype shortcut widget on the home screen?
220,How to transfer files using WiFi Direct between 2 ICS devices?
437,How can I root my galaxy S3 i9300 on android 4.2.2 Jelly Bean?
556,"Can swapping a SIM while phone is on, damage the phone?"
552,Cant add exchange Account 4.1.2
684,Cell standby use about 35-50% of total battery?
3,Is there any app for Stack Exchange?
595,How do I connect a PS3 Controller with Xperia P?
504,Is it possible to mount .iso files (virtual optical drive) on Android?
607,Whats app last seen status not visible
298,"Can Google Play be installed on Andoid Virtual Device, running API 10 (Android 2.3.3)?"
272,Can't mount sdcard from Recovery Mode/Clockworkmod
210,How can I root the GT 10.1 (running 3.2)?
249,mobile phone calls on Huawei MediaPad
205,How do I start/join a G+ Hangout?
402,android 4.2.1 installation error on N7000 error
332,How does the typical Android boot process work?
169,How to monitor Wi-Fi usage?
296,Find lost device without Gmail account configured and without SIM card
542,Xperia J sound very low with earphones and headphones
675,Older version of Plenty of Fish or POF application
50,Remote login into the phone from a PC
655,How to Install App as System App
74,Is there a zoom and timer functionality on Nexus S camera?
465,Double message notifications after upgrading Talk to Hangouts (CyanogenMod 7.2)
466,How to fix a broken icon on an android phone
191,How do I remove a review I've written from the Android Market app?
282,Turning on Wi-Fi on demand
629,Recovery contact after factory reset
630,Make a calll to genymotion emulator
174,Share WIFI to Computer?
88,"How to check if GPS is working (Android 2.1, Samsung Galaxy-5)?"
627,Change default Hotspot IPAddress (192.168.43.1) or mac address
467,what is a bootloader unlocked phone?
516,How to lower down the volume more than by default?
239,"Transformer Prime, VPN and password protection"
548,Is it safe to use phone while charging with portable powerbank?
606,Android tablet pc will not connect to (router) wi fi
642,Difference between /storage/emulated/0/ and /storage/emulated/legacy/?
601,How to change IP pool for WiFi tethering on Nexus 5
26,"What's the most effortless way for ""cloud"" back up of photos taken with an Android phone?"
152,Android USB reverse tethering: How to fool the apps
392,Where can I see if a developer responded to my comment on the Google Play?
339,Find lost Samsung Galaxy Ace phone?
599,Show Android's screen full-screen on a laptop
431,Use an Android tablet as a Wacom drawing tablet for a PC?
692,Can't open menu in apps without a menu button or physical key
483,I modified vold.fstab and lost access to my SD card
614,Want to try reformatting Damaged SD Card
302,Why can't the su binary simply be copied (techical response please)
666,Installing cyanogenmod 11
137,What do I say to make a new line when using voice recognition?
501,Enable tamil font without rooting the phone
574,Undo functionality while editing text
23,Is there a way to see the top apps across all categories?
324,Problem partitioning SD
349,"Differnce between abilities of System apps, Apps in phone memory and Apps in the SD card"
255,How to enable multiple users on Google Talk for Android 2.3.4?
604,"What is the list of commands to dictate punctuation, capitalization and line breaks?"
321,Set two languages simultaneously for the stock keyboard?
522,What is DiskCacheIndex.tmp
358,"Samsung Galaxy Tab, charging technique through USB Cable"
157,Screen recording tool for the samsung galaxy tab
698,How to view android device screen on PC over adb
99,MS Office Client for Android
263,Transferring Apps from sd card to another sd card(HTC Desire HD)
142,Factory reset to restore performance? What are the disadvantages?
603,How to prevent android from auto-sync'ing gmail contacts and photos
406,LG Optimus Logic - Moving apps to SD
85,Can I use the Google Market without syncing other Google data?
150,How to set MP3 ringtone in Android (Nexus S)
241,Can't boot my Htc Wildfire S after deleting Sense
507,Why does my phone need 20MB before it can recieve text messages and can I do anything about this?
299,Transfer all Contacts in Phone and Sim to Google Contacts
284,"Why my phone is always out of space recently, but I didn't install any new software"
525,Is it possible to kill your phone sofwarematicly?
162,Browser's default search engine
407,"resolve zeroconf-style ""hostname.local"" names"
544,Downgrade Nexus 4 from 4.4 to 4.2
678,I can't unlock bootloader on Nexus 7 (2013)
64,2.1 as a secure access point?
60,How to enable real text prediction for android / stock keyboard on LG optimus one?
119,"SMS messages just have ""null"""
135,How can data on an unrooted phone be backed up?
80,Application for automatic synchronization of remote folders?
444,Home button or back button to leave an app?
194,"Use existing contact for ""Me"" in Ice Cream Sandwich"
21,How can I sync the bookmarks in the web browser?
252,Amazon Android App Store International
609,How does the Heartbleed security vulnerability affect my Android device?
369,How can I make an actual heart symbol in a text on my htc inspire?
399,USB storage blank or unsupported filesystem
234,Is it ok to charge my Nexus S with an iPhone power adaptor?
571,How can I stop being redirected to the App Store/Google Store by dodgy ad-scripts?
547,Why my nexus 5 is not getting on air update for Android 4.4.2
251,"If I use free WiFi in a hotspot, can data be easily sniffed?"
53,What percentage of users use each of the Android versions?
200,How do I root my Kindle Fire?
130,How can I disable cellular data on an Android device?
515,LG L5ii move the apps from internal memory to SD card
231,"Why does Google play show a ""no connection: retry"" error?"
553,App icons disappear from home screen on app update
51,How can I configure my phone for MMS?
323,How can I find out the make and model of the chips in my device?
460,Multiple Gmail notifications
265,How do I keep my Android 4.0.3 phone awake when USB connected?
264,Updating GPlus Signature Error
636,How to block texts from certain number
562,robot dies with red triangle when restarting from 4.2 install on stock Samsung Galaxy Nexus
291,How to find out the variant of my Galaxy Nexus?
450,Indic font(Kannada) is not rendering properly in Android ICS
78,When will my device get the Android 3.x update (Honeycomb)?
27,How can I turn off the shutter sound for the camera on droid x running 2.2 froyo?
624,Unassociate an app from a file extension?
345,More internal memory or less memory + SD card
664,How to find release date for Google Play apps?
182,Has anyone determined why the Droid X with Gingerbread turns itself back on?
532,What are the different signal indicators avalable on the notification bar?
575,How can I know which app is giving me notification sounds?
8,Alternatives to the Android Market
274,Is there any way to sync a subset of my Google Contacts to my Android?
253,See Youtube videos in Anaglyph mode
663,Charging Nexus 5 to 100%
475,Symbolic link to Dropbox
682,There is no os in my htc butterfly in recovery mode. Help!
139,How do I disable corporate exchange security policy on Samsung Galaxy S 2?
233,Questions regarding purchasing on google store
490,Facebook version 3.5. - sort news feed
201,Privacy level with an anonymous account?
195,Wi-Fi icon next to apps in android market
39,Is there any way to change the emoticons in the standard android sms app?
560,Not able to send media file via WhatsApp
443,Is it possible to use adb backup in order to make a clone of a tablet?
118,How check what requests does my App (wireshark for Android)?
213,How can I restore IMEI code after factory reset?
514,How can I make a message appears on my PC when my phone is ringing?
661,"""adb devices"" shows device as ""unauthorized"". How can I fix this?"
379,Why did /sdcard/ turn into /sdcard/0/ with 4.2?
639,Android phone fell in salt water
159,What's the difference between an AOSP ROM and a stock ROM?
474,How can I turn off text message (SMS) sync to e-mail inbox on Samsung Galaxy S4?
380,Why is there such a difference in thr amount RAM used?
209,How to remove Google Account that is set for Android Market in device?
386,Is it possible to filter Google Play search results by permission?
671,Why are USB cables of two different OEM's different
313,Unregister device in Google Play
2,Is there an Android PMP equivalent of the iPod Touch?
420,Insufficient memory to download apps from playstore?
419,Removing second SIM signal sign from notification
173,What does FTM mean on my phone?
414,rooting Samsung Galaxy Note 2
244,Can someone explain how the android GPS Navigation works?
430,Block apps from accessing the Internet on Android device
509,Pulling boot.img
499,How to reach local computer via machine name instead of IP?
84,How can I set the language in Opera Mini 6?
389,Is it possible to install two instances of a same app?
503,How can I ensure reliable updates for an Android phone/device?
331,Record Speaker-Out Sound (not microphone)
86,gallery sort order
223,Can I change the dalvik cache location e.g. with a symbolic link?
285,Unable to download from an authenticated webserver
378,LG Optimus Logic Transferring apps to Micro SD instead of internal memory
59,Wifi goes off on screen lock?
172,What info does Google backup?
71,Wi-Fi tethering with HTC Magic
79,"What is an ""Emergency Call,"" and can I  set number for it?"
517,rooting xperia tipo dual st21i2x
620,How to recover my files from memo and mobilse note after format factory?
357,Internal hard disk partitions (sda2) not showing in android system
356,"Trying to factory reset, but it's not listed at all as an option"
421,Can't take screenshots on Nexus 4
148,"Always shows ""Local calendar cannot sync with Google calendar. You need a google account."""
28,Spell Check app or setting while using drop down keyboard
468,Google+ Photo Backup Failed
257,Can deleting stock web browser cause problems?
203,How can I switch launchers on the Samsung Galaxy SII Epic
224,Phone not updating Market to Google Play?
352,"How can I assign a Windows drive letter to my ""portable drive"" (Samsung Tab 10.1)?"
495,"S-voice on Samsung Galaxy S4 ""No response from server..."""
163,"""keep screen on if USB debugging"" application?"
385,play & loop video on startup
644,Reverse Tethering
446,Installing to SDCard by default
327,"is there a way to know what CPU, GPU, RAM my phone / tablet has?"
373,"Where to find description of all ""/system/bin/service"" calls?"
656,confusion about external memory
341,Android full support offline map
480,Android File Transfer problem
425,"Why is ""Android OS"" uploading so much data?"
103,How to download unsupported files from the default browser?
545,How to sign into another account in the gmail app on phone
307,Does Bluetooth drain power when it's not in use?
232,number in the top right corner of the camera app?
477,How to optimize my Rooted desire bravo for gaming?
293,Disable ads in applications?
165,Any way to retrieve phone number dialed while in airplane mode?
416,Can I stop installed apps adding their icon to my homescreen?
280,Fix a damaged microsd card?
366,How to migrate applications to other user account without downloading the applications again?
337,How to move Applications from phone to SD Card?
204,How can I access my Google Reader entries offline?
412,How do I scroll to the top of a list?
494,Remote factory reset and changing Google password
597,How can i transfer phone memory apps to external SD card
608,Download previously purchased
286,Will I lose any apps / data if I upgrade my phone's OS?
248,install certificates
55,jar file on samsung galaxy p1000
519,Getting rid of stale notification icons in the notification _bar_?
403,How to install additional fonts?
145,Can I use dual boot in my Android mobile phone?
262,How often app is used?
92,Restrict access to device settings
650,Can I change the way photos are numbered?
107,"Other than portability, are there any other advantages (or disadvantages) to storing apps on external storage?"
391,Making multiple files or a folder available offline in Google Drive
653,QR-code reader keyboard
208,How to circumvent the market compatibility check?
114,selectively make contact groups silent
350,How to root the new version of the ONE X
246,Can I use my phone as an audio device via Wifi?
591,Android 4.4 default button restoration?
628,how to turn off voice command for blind and low vision
134,Android - Change Google account on Nexus S
215,How can I root my Nexus One?
177,List of devices with screen parameters
185,Good free pdf reader for android that opens the last read page
585,How to stop Android assuming all wi-fi connections give internet access
351,"Disable open Google Search by sliding up from the home button ""feature""?"
382,Change stock Clock app timer noise?
76,Difference between Super LCD screen of Nexus S and Super AMOLED screen of Samsung Galaxy S -- Which is better?
409,Is it possible to pre-download a YouTube video to view it later offline?
199,How can I install vanilla Android on the Kindle Fire?
1,How to monitor the amount of data traffic?
260,How do I get Youtube Links to open in the YouTube app and not a browser?
91,How can I receive phone calls through Wi-Fi on an Android phone?
276,Cannot see my device in Dalvik Debug Monitor
269,How to root Coby Kyros - mid7016 tablet
69,Support for Multiple Users on same device
